codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_aids_adulto
310020,Abaeté,2021,1,2021-1-01,0
310020,Abaeté,2021,2,2021-2-01,0
310020,Abaeté,2021,3,2021-3-01,0
310020,Abaeté,2021,4,2021-4-01,0
310020,Abaeté,2021,5,2021-5-01,1
310060,Água Boa,2021,1,2021-1-01,1
310060,Água Boa,2021,2,2021-2-01,0
310060,Água Boa,2021,3,2021-3-01,0
310060,Água Boa,2021,4,2021-4-01,0
310060,Água Boa,2021,5,2021-5-01,0
310110,Aimorés,2021,1,2021-1-01,1
310110,Aimorés,2021,2,2021-2-01,0
310110,Aimorés,2021,3,2021-3-01,0
310110,Aimorés,2021,4,2021-4-01,0
310110,Aimorés,2021,5,2021-5-01,0
310150,Além Paraíba,2021,1,2021-1-01,1
310150,Além Paraíba,2021,2,2021-2-01,0
310150,Além Paraíba,2021,3,2021-3-01,0
310150,Além Paraíba,2021,4,2021-4-01,1
310150,Além Paraíba,2021,5,2021-5-01,1
310160,Alfenas,2021,1,2021-1-01,0
310160,Alfenas,2021,2,2021-2-01,2
310160,Alfenas,2021,3,2021-3-01,2
310160,Alfenas,2021,4,2021-4-01,2
310160,Alfenas,2021,5,2021-5-01,0
315350,Alto Jequitibá,2021,1,2021-1-01,0
315350,Alto Jequitibá,2021,2,2021-2-01,0
315350,Alto Jequitibá,2021,3,2021-3-01,0
315350,Alto Jequitibá,2021,4,2021-4-01,2
315350,Alto Jequitibá,2021,5,2021-5-01,0
310230,Alvinópolis,2021,1,2021-1-01,0
310230,Alvinópolis,2021,2,2021-2-01,0
310230,Alvinópolis,2021,3,2021-3-01,1
310230,Alvinópolis,2021,4,2021-4-01,0
310230,Alvinópolis,2021,5,2021-5-01,0
310280,Andrelândia,2021,1,2021-1-01,1
310280,Andrelândia,2021,2,2021-2-01,0
310280,Andrelândia,2021,3,2021-3-01,0
310280,Andrelândia,2021,4,2021-4-01,0
310280,Andrelândia,2021,5,2021-5-01,0
310300,Antônio Dias,2021,1,2021-1-01,2
310300,Antônio Dias,2021,2,2021-2-01,0
310300,Antônio Dias,2021,3,2021-3-01,0
310300,Antônio Dias,2021,4,2021-4-01,0
310300,Antônio Dias,2021,5,2021-5-01,0
310350,Araguari,2021,1,2021-1-01,2
310350,Araguari,2021,2,2021-2-01,3
310350,Araguari,2021,3,2021-3-01,4
310350,Araguari,2021,4,2021-4-01,0
310350,Araguari,2021,5,2021-5-01,0
310375,Araporã,2021,1,2021-1-01,1
310375,Araporã,2021,2,2021-2-01,0
310375,Araporã,2021,3,2021-3-01,0
310375,Araporã,2021,4,2021-4-01,0
310375,Araporã,2021,5,2021-5-01,0
310400,Araxá,2021,1,2021-1-01,6
310400,Araxá,2021,2,2021-2-01,0
310400,Araxá,2021,3,2021-3-01,1
310400,Araxá,2021,4,2021-4-01,0
310400,Araxá,2021,5,2021-5-01,0
310420,Arcos,2021,1,2021-1-01,0
310420,Arcos,2021,2,2021-2-01,1
310420,Arcos,2021,3,2021-3-01,1
310420,Arcos,2021,4,2021-4-01,0
310420,Arcos,2021,5,2021-5-01,0
310450,Arinos,2021,1,2021-1-01,0
310450,Arinos,2021,2,2021-2-01,0
310450,Arinos,2021,3,2021-3-01,1
310450,Arinos,2021,4,2021-4-01,0
310450,Arinos,2021,5,2021-5-01,0
310460,Astolfo Dutra,2021,1,2021-1-01,0
310460,Astolfo Dutra,2021,2,2021-2-01,0
310460,Astolfo Dutra,2021,3,2021-3-01,0
310460,Astolfo Dutra,2021,4,2021-4-01,1
310460,Astolfo Dutra,2021,5,2021-5-01,0
310470,Ataléia,2021,1,2021-1-01,0
310470,Ataléia,2021,2,2021-2-01,1
310470,Ataléia,2021,3,2021-3-01,0
310470,Ataléia,2021,4,2021-4-01,0
310470,Ataléia,2021,5,2021-5-01,0
310540,Barão de Cocais,2021,1,2021-1-01,1
310540,Barão de Cocais,2021,2,2021-2-01,1
310540,Barão de Cocais,2021,3,2021-3-01,0
310540,Barão de Cocais,2021,4,2021-4-01,0
310540,Barão de Cocais,2021,5,2021-5-01,0
310560,Barbacena,2021,1,2021-1-01,1
310560,Barbacena,2021,2,2021-2-01,5
310560,Barbacena,2021,3,2021-3-01,0
310560,Barbacena,2021,4,2021-4-01,0
310560,Barbacena,2021,5,2021-5-01,0
310590,Barroso,2021,1,2021-1-01,3
310590,Barroso,2021,2,2021-2-01,0
310590,Barroso,2021,3,2021-3-01,0
310590,Barroso,2021,4,2021-4-01,0
310590,Barroso,2021,5,2021-5-01,0
310620,Belo Horizonte,2021,1,2021-1-01,81
310620,Belo Horizonte,2021,2,2021-2-01,76
310620,Belo Horizonte,2021,3,2021-3-01,82
310620,Belo Horizonte,2021,4,2021-4-01,18
310620,Belo Horizonte,2021,5,2021-5-01,0
310630,Belo Oriente,2021,1,2021-1-01,0
310630,Belo Oriente,2021,2,2021-2-01,0
310630,Belo Oriente,2021,3,2021-3-01,1
310630,Belo Oriente,2021,4,2021-4-01,0
310630,Belo Oriente,2021,5,2021-5-01,0
310660,Bertópolis,2021,1,2021-1-01,0
310660,Bertópolis,2021,2,2021-2-01,0
310660,Bertópolis,2021,3,2021-3-01,1
310660,Bertópolis,2021,4,2021-4-01,0
310660,Bertópolis,2021,5,2021-5-01,0
310670,Betim,2021,1,2021-1-01,4
310670,Betim,2021,2,2021-2-01,19
310670,Betim,2021,3,2021-3-01,4
310670,Betim,2021,4,2021-4-01,2
310670,Betim,2021,5,2021-5-01,0
310690,Bicas,2021,1,2021-1-01,1
310690,Bicas,2021,2,2021-2-01,0
310690,Bicas,2021,3,2021-3-01,0
310690,Bicas,2021,4,2021-4-01,0
310690,Bicas,2021,5,2021-5-01,0
310720,Bocaina de Minas,2021,1,2021-1-01,0
310720,Bocaina de Minas,2021,2,2021-2-01,0
310720,Bocaina de Minas,2021,3,2021-3-01,0
310720,Bocaina de Minas,2021,4,2021-4-01,2
310720,Bocaina de Minas,2021,5,2021-5-01,0
310730,Bocaiúva,2021,1,2021-1-01,1
310730,Bocaiúva,2021,2,2021-2-01,1
310730,Bocaiúva,2021,3,2021-3-01,0
310730,Bocaiúva,2021,4,2021-4-01,0
310730,Bocaiúva,2021,5,2021-5-01,0
310740,Bom Despacho,2021,1,2021-1-01,1
310740,Bom Despacho,2021,2,2021-2-01,0
310740,Bom Despacho,2021,3,2021-3-01,0
310740,Bom Despacho,2021,4,2021-4-01,0
310740,Bom Despacho,2021,5,2021-5-01,0
310860,Brasília de Minas,2021,1,2021-1-01,0
310860,Brasília de Minas,2021,2,2021-2-01,1
310860,Brasília de Minas,2021,3,2021-3-01,0
310860,Brasília de Minas,2021,4,2021-4-01,0
310860,Brasília de Minas,2021,5,2021-5-01,0
310900,Brumadinho,2021,1,2021-1-01,1
310900,Brumadinho,2021,2,2021-2-01,1
310900,Brumadinho,2021,3,2021-3-01,1
310900,Brumadinho,2021,4,2021-4-01,0
310900,Brumadinho,2021,5,2021-5-01,0
310920,Buenópolis,2021,1,2021-1-01,1
310920,Buenópolis,2021,2,2021-2-01,0
310920,Buenópolis,2021,3,2021-3-01,0
310920,Buenópolis,2021,4,2021-4-01,0
310920,Buenópolis,2021,5,2021-5-01,0
311000,Caeté,2021,1,2021-1-01,0
311000,Caeté,2021,2,2021-2-01,1
311000,Caeté,2021,3,2021-3-01,0
311000,Caeté,2021,4,2021-4-01,1
311000,Caeté,2021,5,2021-5-01,0
311050,Camanducaia,2021,1,2021-1-01,0
311050,Camanducaia,2021,2,2021-2-01,1
311050,Camanducaia,2021,3,2021-3-01,1
311050,Camanducaia,2021,4,2021-4-01,0
311050,Camanducaia,2021,5,2021-5-01,0
311090,Campanha,2021,1,2021-1-01,0
311090,Campanha,2021,2,2021-2-01,1
