codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_botulismo
311180,Canápolis,2020,1,2020-1-01,4
313380,Itaúna,2019,3,2019-3-01,0
313380,Itaúna,2019,9,2019-9-01,0
313380,Itaúna,2019,11,2019-11-01,1
313380,Itaúna,2019,12,2019-12-01,0
314330,Montes Claros,2019,3,2019-3-01,0
314330,Montes Claros,2019,9,2019-9-01,1
314330,Montes Claros,2019,11,2019-11-01,0
314330,Montes Claros,2019,12,2019-12-01,0
314480,Nova Lima,2019,3,2019-3-01,1
314480,Nova Lima,2019,9,2019-9-01,0
314480,Nova Lima,2019,11,2019-11-01,0
314480,Nova Lima,2019,12,2019-12-01,0
316990,Ubá,2019,3,2019-3-01,0
316990,Ubá,2019,9,2019-9-01,0
316990,Ubá,2019,11,2019-11-01,0
316990,Ubá,2019,12,2019-12-01,1
313535,Japonvar,2018,10,2018-10-01,1
311860,Contagem,2017,2,2017-2-01,1
310620,Belo Horizonte,2016,1,2016-1-01,0
310620,Belo Horizonte,2016,7,2016-7-01,1
310620,Belo Horizonte,2016,10,2016-10-01,0
310620,Belo Horizonte,2016,12,2016-12-01,0
314280,Monte Alegre de Minas,2016,1,2016-1-01,0
314280,Monte Alegre de Minas,2016,7,2016-7-01,0
314280,Monte Alegre de Minas,2016,10,2016-10-01,1
314280,Monte Alegre de Minas,2016,12,2016-12-01,0
315670,Sabará,2016,1,2016-1-01,0
315670,Sabará,2016,7,2016-7-01,0
315670,Sabará,2016,10,2016-10-01,0
315670,Sabará,2016,12,2016-12-01,2
315780,Santa Luzia,2016,1,2016-1-01,1
315780,Santa Luzia,2016,7,2016-7-01,0
315780,Santa Luzia,2016,10,2016-10-01,0
315780,Santa Luzia,2016,12,2016-12-01,0
310150,Além Paraíba,2015,6,2015-6-01,1
310150,Além Paraíba,2015,10,2015-10-01,0
310620,Belo Horizonte,2015,6,2015-6-01,0
310620,Belo Horizonte,2015,10,2015-10-01,1
315210,Ponte Nova,2015,6,2015-6-01,0
315210,Ponte Nova,2015,10,2015-10-01,1
313010,Igarapé,2014,2,2014-2-01,0
313010,Igarapé,2014,4,2014-4-01,0
313010,Igarapé,2014,5,2014-5-01,1
313010,Igarapé,2014,8,2014-8-01,0
314000,Mariana,2014,2,2014-2-01,0
314000,Mariana,2014,4,2014-4-01,0
314000,Mariana,2014,5,2014-5-01,0
314000,Mariana,2014,8,2014-8-01,1
314560,Oliveira,2014,2,2014-2-01,0
314560,Oliveira,2014,4,2014-4-01,1
314560,Oliveira,2014,5,2014-5-01,0
314560,Oliveira,2014,8,2014-8-01,0
317010,Uberaba,2014,2,2014-2-01,1
317010,Uberaba,2014,4,2014-4-01,0
317010,Uberaba,2014,5,2014-5-01,0
317010,Uberaba,2014,8,2014-8-01,0
310350,Araguari,2013,6,2013-6-01,0
310350,Araguari,2013,7,2013-7-01,0
310350,Araguari,2013,8,2013-8-01,0
310350,Araguari,2013,9,2013-9-01,1
310350,Araguari,2013,10,2013-10-01,0
310350,Araguari,2013,12,2013-12-01,0
310560,Barbacena,2013,6,2013-6-01,0
310560,Barbacena,2013,7,2013-7-01,0
310560,Barbacena,2013,8,2013-8-01,0
310560,Barbacena,2013,9,2013-9-01,0
310560,Barbacena,2013,10,2013-10-01,0
310560,Barbacena,2013,12,2013-12-01,2
310620,Belo Horizonte,2013,6,2013-6-01,0
310620,Belo Horizonte,2013,7,2013-7-01,0
310620,Belo Horizonte,2013,8,2013-8-01,1
310620,Belo Horizonte,2013,9,2013-9-01,0
310620,Belo Horizonte,2013,10,2013-10-01,1
310620,Belo Horizonte,2013,12,2013-12-01,0
312230,Divinópolis,2013,6,2013-6-01,0
312230,Divinópolis,2013,7,2013-7-01,0
312230,Divinópolis,2013,8,2013-8-01,0
312230,Divinópolis,2013,9,2013-9-01,1
312230,Divinópolis,2013,10,2013-10-01,0
312230,Divinópolis,2013,12,2013-12-01,0
313840,Leopoldina,2013,6,2013-6-01,0
313840,Leopoldina,2013,7,2013-7-01,2
313840,Leopoldina,2013,8,2013-8-01,0
313840,Leopoldina,2013,9,2013-9-01,0
313840,Leopoldina,2013,10,2013-10-01,0
313840,Leopoldina,2013,12,2013-12-01,0
314400,Mutum,2013,6,2013-6-01,5
314400,Mutum,2013,7,2013-7-01,0
314400,Mutum,2013,8,2013-8-01,0
314400,Mutum,2013,9,2013-9-01,0
314400,Mutum,2013,10,2013-10-01,0
314400,Mutum,2013,12,2013-12-01,0
313420,Ituiutaba,2012,9,2012-9-01,0
313420,Ituiutaba,2012,10,2012-10-01,1
317020,Uberlândia,2012,9,2012-9-01,1
317020,Uberlândia,2012,10,2012-10-01,0
310620,Belo Horizonte,2011,1,2011-1-01,0
310620,Belo Horizonte,2011,3,2011-3-01,0
310620,Belo Horizonte,2011,5,2011-5-01,0
310620,Belo Horizonte,2011,7,2011-7-01,1
310620,Belo Horizonte,2011,8,2011-8-01,0
310710,Boa Esperança,2011,1,2011-1-01,0
310710,Boa Esperança,2011,3,2011-3-01,0
310710,Boa Esperança,2011,5,2011-5-01,0
310710,Boa Esperança,2011,7,2011-7-01,0
310710,Boa Esperança,2011,8,2011-8-01,1
311790,Congonhal,2011,1,2011-1-01,0
311790,Congonhal,2011,3,2011-3-01,1
311790,Congonhal,2011,5,2011-5-01,0
311790,Congonhal,2011,7,2011-7-01,0
311790,Congonhal,2011,8,2011-8-01,0
312610,Formiga,2011,1,2011-1-01,0
312610,Formiga,2011,3,2011-3-01,0
312610,Formiga,2011,5,2011-5-01,1
312610,Formiga,2011,7,2011-7-01,0
312610,Formiga,2011,8,2011-8-01,0
312980,Ibirité,2011,1,2011-1-01,1
312980,Ibirité,2011,3,2011-3-01,0
312980,Ibirité,2011,5,2011-5-01,0
312980,Ibirité,2011,7,2011-7-01,0
312980,Ibirité,2011,8,2011-8-01,0
314330,Montes Claros,2010,4,2010-4-01,1
