codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_chikungunya
310030,Abre Campo,2021,1,2021-1-01,0
310030,Abre Campo,2021,2,2021-2-01,0
310030,Abre Campo,2021,3,2021-3-01,0
310030,Abre Campo,2021,4,2021-4-01,1
310030,Abre Campo,2021,5,2021-5-01,0
310030,Abre Campo,2021,7,2021-7-01,0
310030,Abre Campo,2021,10,2021-10-01,0
310030,Abre Campo,2021,11,2021-11-01,0
310030,Abre Campo,2021,12,2021-12-01,0
310110,Aimorés,2021,1,2021-1-01,88
310110,Aimorés,2021,2,2021-2-01,67
310110,Aimorés,2021,3,2021-3-01,61
310110,Aimorés,2021,4,2021-4-01,35
310110,Aimorés,2021,5,2021-5-01,2
310110,Aimorés,2021,7,2021-7-01,0
310110,Aimorés,2021,10,2021-10-01,0
310110,Aimorés,2021,11,2021-11-01,0
310110,Aimorés,2021,12,2021-12-01,11
310150,Além Paraíba,2021,1,2021-1-01,0
310150,Além Paraíba,2021,2,2021-2-01,0
310150,Além Paraíba,2021,3,2021-3-01,2
310150,Além Paraíba,2021,4,2021-4-01,5
310150,Além Paraíba,2021,5,2021-5-01,0
310150,Além Paraíba,2021,7,2021-7-01,0
310150,Além Paraíba,2021,10,2021-10-01,0
310150,Além Paraíba,2021,11,2021-11-01,0
310150,Além Paraíba,2021,12,2021-12-01,0
310160,Alfenas,2021,1,2021-1-01,1
310160,Alfenas,2021,2,2021-2-01,0
310160,Alfenas,2021,3,2021-3-01,0
310160,Alfenas,2021,4,2021-4-01,0
310160,Alfenas,2021,5,2021-5-01,0
310160,Alfenas,2021,7,2021-7-01,0
310160,Alfenas,2021,10,2021-10-01,0
310160,Alfenas,2021,11,2021-11-01,0
310160,Alfenas,2021,12,2021-12-01,0
310180,Alpercata,2021,1,2021-1-01,0
310180,Alpercata,2021,2,2021-2-01,1
310180,Alpercata,2021,3,2021-3-01,1
310180,Alpercata,2021,4,2021-4-01,0
310180,Alpercata,2021,5,2021-5-01,0
310180,Alpercata,2021,7,2021-7-01,0
310180,Alpercata,2021,10,2021-10-01,0
310180,Alpercata,2021,11,2021-11-01,0
310180,Alpercata,2021,12,2021-12-01,0
310220,Alvarenga,2021,1,2021-1-01,0
310220,Alvarenga,2021,2,2021-2-01,0
310220,Alvarenga,2021,3,2021-3-01,1
310220,Alvarenga,2021,4,2021-4-01,1
310220,Alvarenga,2021,5,2021-5-01,0
310220,Alvarenga,2021,7,2021-7-01,0
310220,Alvarenga,2021,10,2021-10-01,0
310220,Alvarenga,2021,11,2021-11-01,0
310220,Alvarenga,2021,12,2021-12-01,0
310400,Araxá,2021,1,2021-1-01,0
310400,Araxá,2021,2,2021-2-01,1
310400,Araxá,2021,3,2021-3-01,0
310400,Araxá,2021,4,2021-4-01,0
310400,Araxá,2021,5,2021-5-01,0
310400,Araxá,2021,7,2021-7-01,0
310400,Araxá,2021,10,2021-10-01,0
310400,Araxá,2021,11,2021-11-01,0
310400,Araxá,2021,12,2021-12-01,0
310420,Arcos,2021,1,2021-1-01,0
310420,Arcos,2021,2,2021-2-01,0
310420,Arcos,2021,3,2021-3-01,0
310420,Arcos,2021,4,2021-4-01,8
310420,Arcos,2021,5,2021-5-01,0
310420,Arcos,2021,7,2021-7-01,0
310420,Arcos,2021,10,2021-10-01,0
310420,Arcos,2021,11,2021-11-01,0
310420,Arcos,2021,12,2021-12-01,0
310440,Argirita,2021,1,2021-1-01,0
310440,Argirita,2021,2,2021-2-01,0
310440,Argirita,2021,3,2021-3-01,1
310440,Argirita,2021,4,2021-4-01,0
310440,Argirita,2021,5,2021-5-01,0
310440,Argirita,2021,7,2021-7-01,0
310440,Argirita,2021,10,2021-10-01,0
310440,Argirita,2021,11,2021-11-01,0
310440,Argirita,2021,12,2021-12-01,0
310460,Astolfo Dutra,2021,1,2021-1-01,0
