codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_coqueluche
310620,Belo Horizonte,2021,1,2021-1-01,2
310620,Belo Horizonte,2021,2,2021-2-01,0
310620,Belo Horizonte,2021,3,2021-3-01,0
310620,Belo Horizonte,2021,4,2021-4-01,0
310620,Belo Horizonte,2021,12,2021-12-01,0
311910,Corinto,2021,1,2021-1-01,1
311910,Corinto,2021,2,2021-2-01,0
311910,Corinto,2021,3,2021-3-01,0
311910,Corinto,2021,4,2021-4-01,0
311910,Corinto,2021,12,2021-12-01,0
313170,Itabira,2021,1,2021-1-01,0
313170,Itabira,2021,2,2021-2-01,0
313170,Itabira,2021,3,2021-3-01,1
313170,Itabira,2021,4,2021-4-01,0
313170,Itabira,2021,12,2021-12-01,0
314740,Paraopeba,2021,1,2021-1-01,0
314740,Paraopeba,2021,2,2021-2-01,0
314740,Paraopeba,2021,3,2021-3-01,2
314740,Paraopeba,2021,4,2021-4-01,0
314740,Paraopeba,2021,12,2021-12-01,0
315480,Rio Acima,2021,1,2021-1-01,0
315480,Rio Acima,2021,2,2021-2-01,1
315480,Rio Acima,2021,3,2021-3-01,0
315480,Rio Acima,2021,4,2021-4-01,0
315480,Rio Acima,2021,12,2021-12-01,0
315780,Santa Luzia,2021,1,2021-1-01,0
315780,Santa Luzia,2021,2,2021-2-01,0
315780,Santa Luzia,2021,3,2021-3-01,1
315780,Santa Luzia,2021,4,2021-4-01,0
315780,Santa Luzia,2021,12,2021-12-01,1
317020,Uberlândia,2021,1,2021-1-01,0
317020,Uberlândia,2021,2,2021-2-01,1
317020,Uberlândia,2021,3,2021-3-01,1
317020,Uberlândia,2021,4,2021-4-01,1
317020,Uberlândia,2021,12,2021-12-01,0
310620,Belo Horizonte,2020,1,2020-1-01,1
310620,Belo Horizonte,2020,2,2020-2-01,3
310620,Belo Horizonte,2020,3,2020-3-01,1
310620,Belo Horizonte,2020,4,2020-4-01,2
310620,Belo Horizonte,2020,5,2020-5-01,1
310620,Belo Horizonte,2020,6,2020-6-01,2
310620,Belo Horizonte,2020,7,2020-7-01,0
310620,Belo Horizonte,2020,9,2020-9-01,0
310620,Belo Horizonte,2020,10,2020-10-01,0
310620,Belo Horizonte,2020,11,2020-11-01,1
310620,Belo Horizonte,2020,12,2020-12-01,5
310670,Betim,2020,1,2020-1-01,1
310670,Betim,2020,2,2020-2-01,0
310670,Betim,2020,3,2020-3-01,1
310670,Betim,2020,4,2020-4-01,0
310670,Betim,2020,5,2020-5-01,0
310670,Betim,2020,6,2020-6-01,0
310670,Betim,2020,7,2020-7-01,0
310670,Betim,2020,9,2020-9-01,0
310670,Betim,2020,10,2020-10-01,0
310670,Betim,2020,11,2020-11-01,1
310670,Betim,2020,12,2020-12-01,0
310900,Brumadinho,2020,1,2020-1-01,0
310900,Brumadinho,2020,2,2020-2-01,1
310900,Brumadinho,2020,3,2020-3-01,0
310900,Brumadinho,2020,4,2020-4-01,0
310900,Brumadinho,2020,5,2020-5-01,0
310900,Brumadinho,2020,6,2020-6-01,0
310900,Brumadinho,2020,7,2020-7-01,0
310900,Brumadinho,2020,9,2020-9-01,0
310900,Brumadinho,2020,10,2020-10-01,0
310900,Brumadinho,2020,11,2020-11-01,0
310900,Brumadinho,2020,12,2020-12-01,0
311060,Cambuí,2020,1,2020-1-01,1
311060,Cambuí,2020,2,2020-2-01,0
311060,Cambuí,2020,3,2020-3-01,0
311060,Cambuí,2020,4,2020-4-01,0
311060,Cambuí,2020,5,2020-5-01,0
311060,Cambuí,2020,6,2020-6-01,0
311060,Cambuí,2020,7,2020-7-01,0
311060,Cambuí,2020,9,2020-9-01,0
311060,Cambuí,2020,10,2020-10-01,0
311060,Cambuí,2020,11,2020-11-01,0
311060,Cambuí,2020,12,2020-12-01,0
311420,Carmo do Cajuru,2020,1,2020-1-01,1
311420,Carmo do Cajuru,2020,2,2020-2-01,0
311420,Carmo do Cajuru,2020,3,2020-3-01,0
311420,Carmo do Cajuru,2020,4,2020-4-01,0
311420,Carmo do Cajuru,2020,5,2020-5-01,0
311420,Carmo do Cajuru,2020,6,2020-6-01,0
311420,Carmo do Cajuru,2020,7,2020-7-01,0
311420,Carmo do Cajuru,2020,9,2020-9-01,0
311420,Carmo do Cajuru,2020,10,2020-10-01,0
311420,Carmo do Cajuru,2020,11,2020-11-01,0
311420,Carmo do Cajuru,2020,12,2020-12-01,0
311650,Claro dos Poções,2020,1,2020-1-01,0
311650,Claro dos Poções,2020,2,2020-2-01,0
311650,Claro dos Poções,2020,3,2020-3-01,1
311650,Claro dos Poções,2020,4,2020-4-01,0
311650,Claro dos Poções,2020,5,2020-5-01,0
311650,Claro dos Poções,2020,6,2020-6-01,0
311650,Claro dos Poções,2020,7,2020-7-01,0
311650,Claro dos Poções,2020,9,2020-9-01,0
311650,Claro dos Poções,2020,10,2020-10-01,0
311650,Claro dos Poções,2020,11,2020-11-01,0
311650,Claro dos Poções,2020,12,2020-12-01,0
311800,Congonhas,2020,1,2020-1-01,0
311800,Congonhas,2020,2,2020-2-01,0
311800,Congonhas,2020,3,2020-3-01,1
311800,Congonhas,2020,4,2020-4-01,1
311800,Congonhas,2020,5,2020-5-01,0
311800,Congonhas,2020,6,2020-6-01,0
311800,Congonhas,2020,7,2020-7-01,0
311800,Congonhas,2020,9,2020-9-01,0
311800,Congonhas,2020,10,2020-10-01,0
311800,Congonhas,2020,11,2020-11-01,0
311800,Congonhas,2020,12,2020-12-01,0
311860,Contagem,2020,1,2020-1-01,0
311860,Contagem,2020,2,2020-2-01,1
311860,Contagem,2020,3,2020-3-01,1
311860,Contagem,2020,4,2020-4-01,0
