codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_difteria
310560,Barbacena,2021,2,2021-2-01,0
310560,Barbacena,2021,3,2021-3-01,1
310560,Barbacena,2021,12,2021-12-01,0
310620,Belo Horizonte,2021,2,2021-2-01,0
310620,Belo Horizonte,2021,3,2021-3-01,0
310620,Belo Horizonte,2021,12,2021-12-01,1
311860,Contagem,2021,2,2021-2-01,1
311860,Contagem,2021,3,2021-3-01,1
311860,Contagem,2021,12,2021-12-01,0
310410,Arceburgo,2020,1,2020-1-01,1
310410,Arceburgo,2020,2,2020-2-01,0
310410,Arceburgo,2020,3,2020-3-01,0
310410,Arceburgo,2020,5,2020-5-01,0
310410,Arceburgo,2020,7,2020-7-01,0
310410,Arceburgo,2020,9,2020-9-01,0
310620,Belo Horizonte,2020,1,2020-1-01,0
310620,Belo Horizonte,2020,2,2020-2-01,0
310620,Belo Horizonte,2020,3,2020-3-01,0
310620,Belo Horizonte,2020,5,2020-5-01,1
310620,Belo Horizonte,2020,7,2020-7-01,0
310620,Belo Horizonte,2020,9,2020-9-01,0
311860,Contagem,2020,1,2020-1-01,0
311860,Contagem,2020,2,2020-2-01,0
311860,Contagem,2020,3,2020-3-01,0
311860,Contagem,2020,5,2020-5-01,0
311860,Contagem,2020,7,2020-7-01,0
311860,Contagem,2020,9,2020-9-01,1
313130,Ipatinga,2020,1,2020-1-01,0
313130,Ipatinga,2020,2,2020-2-01,1
313130,Ipatinga,2020,3,2020-3-01,0
313130,Ipatinga,2020,5,2020-5-01,0
313130,Ipatinga,2020,7,2020-7-01,0
313130,Ipatinga,2020,9,2020-9-01,0
313460,Jaboticatubas,2020,1,2020-1-01,0
313460,Jaboticatubas,2020,2,2020-2-01,0
313460,Jaboticatubas,2020,3,2020-3-01,1
313460,Jaboticatubas,2020,5,2020-5-01,0
313460,Jaboticatubas,2020,7,2020-7-01,0
313460,Jaboticatubas,2020,9,2020-9-01,0
314430,Nanuque,2020,1,2020-1-01,0
314430,Nanuque,2020,2,2020-2-01,0
314430,Nanuque,2020,3,2020-3-01,0
314430,Nanuque,2020,5,2020-5-01,0
314430,Nanuque,2020,7,2020-7-01,1
314430,Nanuque,2020,9,2020-9-01,0
315895,Santana do Paraíso,2020,1,2020-1-01,0
315895,Santana do Paraíso,2020,2,2020-2-01,0
315895,Santana do Paraíso,2020,3,2020-3-01,1
315895,Santana do Paraíso,2020,5,2020-5-01,0
315895,Santana do Paraíso,2020,7,2020-7-01,0
315895,Santana do Paraíso,2020,9,2020-9-01,0
316870,Timóteo,2020,1,2020-1-01,0
316870,Timóteo,2020,2,2020-2-01,0
316870,Timóteo,2020,3,2020-3-01,1
316870,Timóteo,2020,5,2020-5-01,0
316870,Timóteo,2020,7,2020-7-01,0
316870,Timóteo,2020,9,2020-9-01,0
317200,Visconde do Rio Branco,2020,1,2020-1-01,1
317200,Visconde do Rio Branco,2020,2,2020-2-01,0
317200,Visconde do Rio Branco,2020,3,2020-3-01,0
317200,Visconde do Rio Branco,2020,5,2020-5-01,0
317200,Visconde do Rio Branco,2020,7,2020-7-01,0
317200,Visconde do Rio Branco,2020,9,2020-9-01,0
310620,Belo Horizonte,2019,3,2019-3-01,0
310620,Belo Horizonte,2019,4,2019-4-01,0
