codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_doenca_de_chagas_aguda
310090,Águas Formosas,2021,1,2021-1-01,0
310090,Águas Formosas,2021,2,2021-2-01,1
310090,Águas Formosas,2021,3,2021-3-01,0
310090,Águas Formosas,2021,4,2021-4-01,0
310090,Águas Formosas,2021,9,2021-9-01,0
310090,Águas Formosas,2021,12,2021-12-01,0
310150,Além Paraíba,2021,1,2021-1-01,1
310150,Além Paraíba,2021,2,2021-2-01,0
310150,Além Paraíba,2021,3,2021-3-01,0
310150,Além Paraíba,2021,4,2021-4-01,0
310150,Além Paraíba,2021,9,2021-9-01,0
310150,Além Paraíba,2021,12,2021-12-01,0
315350,Alto Jequitibá,2021,1,2021-1-01,0
315350,Alto Jequitibá,2021,2,2021-2-01,0
315350,Alto Jequitibá,2021,3,2021-3-01,0
315350,Alto Jequitibá,2021,4,2021-4-01,0
315350,Alto Jequitibá,2021,9,2021-9-01,0
315350,Alto Jequitibá,2021,12,2021-12-01,4
310460,Astolfo Dutra,2021,1,2021-1-01,1
310460,Astolfo Dutra,2021,2,2021-2-01,0
310460,Astolfo Dutra,2021,3,2021-3-01,0
310460,Astolfo Dutra,2021,4,2021-4-01,0
310460,Astolfo Dutra,2021,9,2021-9-01,0
310460,Astolfo Dutra,2021,12,2021-12-01,0
310560,Barbacena,2021,1,2021-1-01,0
310560,Barbacena,2021,2,2021-2-01,1
310560,Barbacena,2021,3,2021-3-01,0
310560,Barbacena,2021,4,2021-4-01,0
310560,Barbacena,2021,9,2021-9-01,0
310560,Barbacena,2021,12,2021-12-01,0
310825,Bonito de Minas,2021,1,2021-1-01,0
310825,Bonito de Minas,2021,2,2021-2-01,0
310825,Bonito de Minas,2021,3,2021-3-01,0
310825,Bonito de Minas,2021,4,2021-4-01,0
310825,Bonito de Minas,2021,9,2021-9-01,1
310825,Bonito de Minas,2021,12,2021-12-01,0
311160,Campos Gerais,2021,1,2021-1-01,0
311160,Campos Gerais,2021,2,2021-2-01,3
311160,Campos Gerais,2021,3,2021-3-01,0
311160,Campos Gerais,2021,4,2021-4-01,0
311160,Campos Gerais,2021,9,2021-9-01,0
311160,Campos Gerais,2021,12,2021-12-01,0
311860,Contagem,2021,1,2021-1-01,0
311860,Contagem,2021,2,2021-2-01,0
311860,Contagem,2021,3,2021-3-01,1
311860,Contagem,2021,4,2021-4-01,0
311860,Contagem,2021,9,2021-9-01,0
311860,Contagem,2021,12,2021-12-01,0
311960,Coronel Pacheco,2021,1,2021-1-01,0
311960,Coronel Pacheco,2021,2,2021-2-01,1
311960,Coronel Pacheco,2021,3,2021-3-01,7
311960,Coronel Pacheco,2021,4,2021-4-01,0
311960,Coronel Pacheco,2021,9,2021-9-01,0
311960,Coronel Pacheco,2021,12,2021-12-01,0
312087,Curral de Dentro,2021,1,2021-1-01,0
312087,Curral de Dentro,2021,2,2021-2-01,1
312087,Curral de Dentro,2021,3,2021-3-01,0
312087,Curral de Dentro,2021,4,2021-4-01,0
312087,Curral de Dentro,2021,9,2021-9-01,0
312087,Curral de Dentro,2021,12,2021-12-01,0
312738,Goianá,2021,1,2021-1-01,0
312738,Goianá,2021,2,2021-2-01,0
312738,Goianá,2021,3,2021-3-01,1
312738,Goianá,2021,4,2021-4-01,0
312738,Goianá,2021,9,2021-9-01,0
312738,Goianá,2021,12,2021-12-01,0
312770,Governador Valadares,2021,1,2021-1-01,1
312770,Governador Valadares,2021,2,2021-2-01,0
312770,Governador Valadares,2021,3,2021-3-01,0
312770,Governador Valadares,2021,4,2021-4-01,0
312770,Governador Valadares,2021,9,2021-9-01,0
312770,Governador Valadares,2021,12,2021-12-01,0
312980,Ibirité,2021,1,2021-1-01,0
312980,Ibirité,2021,2,2021-2-01,2
312980,Ibirité,2021,3,2021-3-01,0
312980,Ibirité,2021,4,2021-4-01,0
312980,Ibirité,2021,9,2021-9-01,0
312980,Ibirité,2021,12,2021-12-01,0
313320,Itanhomi,2021,1,2021-1-01,0
313320,Itanhomi,2021,2,2021-2-01,0
313320,Itanhomi,2021,3,2021-3-01,0
313320,Itanhomi,2021,4,2021-4-01,1
313320,Itanhomi,2021,9,2021-9-01,0
313320,Itanhomi,2021,12,2021-12-01,0
313867,Luisburgo,2021,1,2021-1-01,0
313867,Luisburgo,2021,2,2021-2-01,0
313867,Luisburgo,2021,3,2021-3-01,0
313867,Luisburgo,2021,4,2021-4-01,3
313867,Luisburgo,2021,9,2021-9-01,0
313867,Luisburgo,2021,12,2021-12-01,0
313940,Manhuaçu,2021,1,2021-1-01,11
313940,Manhuaçu,2021,2,2021-2-01,0
313940,Manhuaçu,2021,3,2021-3-01,0
313940,Manhuaçu,2021,4,2021-4-01,0
313940,Manhuaçu,2021,9,2021-9-01,0
313940,Manhuaçu,2021,12,2021-12-01,0
314230,Moeda,2021,1,2021-1-01,0
314230,Moeda,2021,2,2021-2-01,1
314230,Moeda,2021,3,2021-3-01,0
314230,Moeda,2021,4,2021-4-01,0
314230,Moeda,2021,9,2021-9-01,0
314230,Moeda,2021,12,2021-12-01,0
314370,Morro do Pilar,2021,1,2021-1-01,0
314370,Morro do Pilar,2021,2,2021-2-01,1
314370,Morro do Pilar,2021,3,2021-3-01,0
314370,Morro do Pilar,2021,4,2021-4-01,0
314370,Morro do Pilar,2021,9,2021-9-01,0
314370,Morro do Pilar,2021,12,2021-12-01,0
314580,Onça de Pitangui,2021,1,2021-1-01,0
314580,Onça de Pitangui,2021,2,2021-2-01,0
314580,Onça de Pitangui,2021,3,2021-3-01,2
314580,Onça de Pitangui,2021,4,2021-4-01,0
314580,Onça de Pitangui,2021,9,2021-9-01,0
314580,Onça de Pitangui,2021,12,2021-12-01,0
315540,Rio Novo,2021,1,2021-1-01,0
315540,Rio Novo,2021,2,2021-2-01,0
315540,Rio Novo,2021,3,2021-3-01,1
315540,Rio Novo,2021,4,2021-4-01,0
315540,Rio Novo,2021,9,2021-9-01,0
315540,Rio Novo,2021,12,2021-12-01,0
316553,Sarzedo,2021,1,2021-1-01,0
316553,Sarzedo,2021,2,2021-2-01,4
316553,Sarzedo,2021,3,2021-3-01,2
