codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_doencas_exantematicas_sarampo_e_rubeola
310350,Araguari,2021,1,2021-1-01,2
310350,Araguari,2021,2,2021-2-01,0
310350,Araguari,2021,3,2021-3-01,0
310350,Araguari,2021,4,2021-4-01,0
310350,Araguari,2021,5,2021-5-01,0
310620,Belo Horizonte,2021,1,2021-1-01,1
310620,Belo Horizonte,2021,2,2021-2-01,0
310620,Belo Horizonte,2021,3,2021-3-01,3
310620,Belo Horizonte,2021,4,2021-4-01,1
310620,Belo Horizonte,2021,5,2021-5-01,1
310670,Betim,2021,1,2021-1-01,1
310670,Betim,2021,2,2021-2-01,0
310670,Betim,2021,3,2021-3-01,0
310670,Betim,2021,4,2021-4-01,0
310670,Betim,2021,5,2021-5-01,0
310930,Buritis,2021,1,2021-1-01,1
310930,Buritis,2021,2,2021-2-01,0
310930,Buritis,2021,3,2021-3-01,0
310930,Buritis,2021,4,2021-4-01,0
310930,Buritis,2021,5,2021-5-01,0
310970,Cachoeira de Minas,2021,1,2021-1-01,0
310970,Cachoeira de Minas,2021,2,2021-2-01,0
310970,Cachoeira de Minas,2021,3,2021-3-01,1
310970,Cachoeira de Minas,2021,4,2021-4-01,0
310970,Cachoeira de Minas,2021,5,2021-5-01,0
311060,Cambuí,2021,1,2021-1-01,1
311060,Cambuí,2021,2,2021-2-01,0
311060,Cambuí,2021,3,2021-3-01,0
311060,Cambuí,2021,4,2021-4-01,0
311060,Cambuí,2021,5,2021-5-01,0
311280,Capitólio,2021,1,2021-1-01,0
311280,Capitólio,2021,2,2021-2-01,1
311280,Capitólio,2021,3,2021-3-01,0
311280,Capitólio,2021,4,2021-4-01,0
311280,Capitólio,2021,5,2021-5-01,0
311910,Corinto,2021,1,2021-1-01,1
311910,Corinto,2021,2,2021-2-01,0
311910,Corinto,2021,3,2021-3-01,0
311910,Corinto,2021,4,2021-4-01,0
311910,Corinto,2021,5,2021-5-01,0
311930,Coromandel,2021,1,2021-1-01,0
311930,Coromandel,2021,2,2021-2-01,0
311930,Coromandel,2021,3,2021-3-01,1
311930,Coromandel,2021,4,2021-4-01,0
311930,Coromandel,2021,5,2021-5-01,0
312050,Cristina,2021,1,2021-1-01,0
312050,Cristina,2021,2,2021-2-01,1
312050,Cristina,2021,3,2021-3-01,0
312050,Cristina,2021,4,2021-4-01,0
312050,Cristina,2021,5,2021-5-01,0
312080,Cruzília,2021,1,2021-1-01,0
312080,Cruzília,2021,2,2021-2-01,0
312080,Cruzília,2021,3,2021-3-01,1
312080,Cruzília,2021,4,2021-4-01,0
312080,Cruzília,2021,5,2021-5-01,0
312340,Doresópolis,2021,1,2021-1-01,0
312340,Doresópolis,2021,2,2021-2-01,0
312340,Doresópolis,2021,3,2021-3-01,0
