codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_esquistossomose
310040,Acaiaca,2021,1,2021-1-01,0
310040,Acaiaca,2021,2,2021-2-01,0
310040,Acaiaca,2021,3,2021-3-01,0
310040,Acaiaca,2021,4,2021-4-01,0
310040,Acaiaca,2021,5,2021-5-01,0
310040,Acaiaca,2021,6,2021-6-01,0
310040,Acaiaca,2021,7,2021-7-01,0
310040,Acaiaca,2021,8,2021-8-01,0
310040,Acaiaca,2021,9,2021-9-01,0
310040,Acaiaca,2021,10,2021-10-01,0
310040,Acaiaca,2021,11,2021-11-01,0
310040,Acaiaca,2021,12,2021-12-01,1
310180,Alpercata,2021,1,2021-1-01,0
310180,Alpercata,2021,2,2021-2-01,0
310180,Alpercata,2021,3,2021-3-01,0
310180,Alpercata,2021,4,2021-4-01,0
310180,Alpercata,2021,5,2021-5-01,0
310180,Alpercata,2021,6,2021-6-01,0
310180,Alpercata,2021,7,2021-7-01,0
310180,Alpercata,2021,8,2021-8-01,0
310180,Alpercata,2021,9,2021-9-01,0
310180,Alpercata,2021,10,2021-10-01,0
310180,Alpercata,2021,11,2021-11-01,1
310180,Alpercata,2021,12,2021-12-01,0
310230,Alvinópolis,2021,1,2021-1-01,3
310230,Alvinópolis,2021,2,2021-2-01,0
310230,Alvinópolis,2021,3,2021-3-01,0
310230,Alvinópolis,2021,4,2021-4-01,0
310230,Alvinópolis,2021,5,2021-5-01,0
310230,Alvinópolis,2021,6,2021-6-01,0
310230,Alvinópolis,2021,7,2021-7-01,0
310230,Alvinópolis,2021,8,2021-8-01,0
310230,Alvinópolis,2021,9,2021-9-01,0
310230,Alvinópolis,2021,10,2021-10-01,0
310230,Alvinópolis,2021,11,2021-11-01,1
310230,Alvinópolis,2021,12,2021-12-01,1
310250,Amparo do Serra,2021,1,2021-1-01,1
310250,Amparo do Serra,2021,2,2021-2-01,0
310250,Amparo do Serra,2021,3,2021-3-01,2
310250,Amparo do Serra,2021,4,2021-4-01,0
310250,Amparo do Serra,2021,5,2021-5-01,0
310250,Amparo do Serra,2021,6,2021-6-01,0
310250,Amparo do Serra,2021,7,2021-7-01,0
310250,Amparo do Serra,2021,8,2021-8-01,0
310250,Amparo do Serra,2021,9,2021-9-01,0
310250,Amparo do Serra,2021,10,2021-10-01,0
310250,Amparo do Serra,2021,11,2021-11-01,0
310250,Amparo do Serra,2021,12,2021-12-01,1
