codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_febre_amarela
310620,Belo Horizonte,2021,1,2021-1-01,1
310620,Belo Horizonte,2021,2,2021-2-01,0
310620,Belo Horizonte,2021,3,2021-3-01,1
310620,Belo Horizonte,2021,4,2021-4-01,0
310620,Belo Horizonte,2021,12,2021-12-01,0
311250,Capim Branco,2021,1,2021-1-01,0
311250,Capim Branco,2021,2,2021-2-01,1
311250,Capim Branco,2021,3,2021-3-01,0
311250,Capim Branco,2021,4,2021-4-01,0
311250,Capim Branco,2021,12,2021-12-01,0
311830,Conselheiro Lafaiete,2021,1,2021-1-01,1
311830,Conselheiro Lafaiete,2021,2,2021-2-01,0
311830,Conselheiro Lafaiete,2021,3,2021-3-01,0
311830,Conselheiro Lafaiete,2021,4,2021-4-01,0
311830,Conselheiro Lafaiete,2021,12,2021-12-01,0
311860,Contagem,2021,1,2021-1-01,1
311860,Contagem,2021,2,2021-2-01,0
311860,Contagem,2021,3,2021-3-01,0
311860,Contagem,2021,4,2021-4-01,0
311860,Contagem,2021,12,2021-12-01,0
312390,Entre Rios de Minas,2021,1,2021-1-01,2
312390,Entre Rios de Minas,2021,2,2021-2-01,0
312390,Entre Rios de Minas,2021,3,2021-3-01,0
312390,Entre Rios de Minas,2021,4,2021-4-01,0
312390,Entre Rios de Minas,2021,12,2021-12-01,0
312610,Formiga,2021,1,2021-1-01,0
312610,Formiga,2021,2,2021-2-01,1
312610,Formiga,2021,3,2021-3-01,0
312610,Formiga,2021,4,2021-4-01,0
312610,Formiga,2021,12,2021-12-01,0
313650,Jordânia,2021,1,2021-1-01,1
313650,Jordânia,2021,2,2021-2-01,0
313650,Jordânia,2021,3,2021-3-01,0
313650,Jordânia,2021,4,2021-4-01,0
313650,Jordânia,2021,12,2021-12-01,0
314070,Mateus Leme,2021,1,2021-1-01,0
314070,Mateus Leme,2021,2,2021-2-01,0
314070,Mateus Leme,2021,3,2021-3-01,0
314070,Mateus Leme,2021,4,2021-4-01,0
314070,Mateus Leme,2021,12,2021-12-01,1
314520,Nova Serrana,2021,1,2021-1-01,0
314520,Nova Serrana,2021,2,2021-2-01,0
314520,Nova Serrana,2021,3,2021-3-01,0
314520,Nova Serrana,2021,4,2021-4-01,1
314520,Nova Serrana,2021,12,2021-12-01,0
314710,Pará de Minas,2021,1,2021-1-01,0
314710,Pará de Minas,2021,2,2021-2-01,0
314710,Pará de Minas,2021,3,2021-3-01,0
314710,Pará de Minas,2021,4,2021-4-01,1
314710,Pará de Minas,2021,12,2021-12-01,0
315140,Pitangui,2021,1,2021-1-01,1
315140,Pitangui,2021,2,2021-2-01,0
315140,Pitangui,2021,3,2021-3-01,0
315140,Pitangui,2021,4,2021-4-01,0
315140,Pitangui,2021,12,2021-12-01,0
315460,Ribeirão das Neves,2021,1,2021-1-01,1
315460,Ribeirão das Neves,2021,2,2021-2-01,0
315460,Ribeirão das Neves,2021,3,2021-3-01,0
315460,Ribeirão das Neves,2021,4,2021-4-01,0
315460,Ribeirão das Neves,2021,12,2021-12-01,0
316255,São João do Manhuaçu,2021,1,2021-1-01,1
316255,São João do Manhuaçu,2021,2,2021-2-01,0
316255,São João do Manhuaçu,2021,3,2021-3-01,0
316255,São João do Manhuaçu,2021,4,2021-4-01,0
316255,São João do Manhuaçu,2021,12,2021-12-01,0
316870,Timóteo,2021,1,2021-1-01,0
316870,Timóteo,2021,2,2021-2-01,1
316870,Timóteo,2021,3,2021-3-01,0
316870,Timóteo,2021,4,2021-4-01,0
316870,Timóteo,2021,12,2021-12-01,0
316990,Ubá,2021,1,2021-1-01,0
316990,Ubá,2021,2,2021-2-01,1
316990,Ubá,2021,3,2021-3-01,0
316990,Ubá,2021,4,2021-4-01,0
316990,Ubá,2021,12,2021-12-01,0
317070,Varginha,2021,1,2021-1-01,0
317070,Varginha,2021,2,2021-2-01,1
317070,Varginha,2021,3,2021-3-01,0
317070,Varginha,2021,4,2021-4-01,0
317070,Varginha,2021,12,2021-12-01,0
310600,Bela Vista de Minas,2020,1,2020-1-01,1
310600,Bela Vista de Minas,2020,2,2020-2-01,0
310600,Bela Vista de Minas,2020,3,2020-3-01,0
310600,Bela Vista de Minas,2020,4,2020-4-01,0
310600,Bela Vista de Minas,2020,5,2020-5-01,0
310600,Bela Vista de Minas,2020,6,2020-6-01,0
310600,Bela Vista de Minas,2020,7,2020-7-01,0
310600,Bela Vista de Minas,2020,8,2020-8-01,0
310600,Bela Vista de Minas,2020,9,2020-9-01,0
310600,Bela Vista de Minas,2020,11,2020-11-01,0
310600,Bela Vista de Minas,2020,12,2020-12-01,0
310620,Belo Horizonte,2020,1,2020-1-01,0
310620,Belo Horizonte,2020,2,2020-2-01,0
310620,Belo Horizonte,2020,3,2020-3-01,1
310620,Belo Horizonte,2020,4,2020-4-01,0
310620,Belo Horizonte,2020,5,2020-5-01,0
310620,Belo Horizonte,2020,6,2020-6-01,1
310620,Belo Horizonte,2020,7,2020-7-01,1
310620,Belo Horizonte,2020,8,2020-8-01,1
310620,Belo Horizonte,2020,9,2020-9-01,1
310620,Belo Horizonte,2020,11,2020-11-01,3
310620,Belo Horizonte,2020,12,2020-12-01,0
