codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_hanseniase
310010,Abadia dos Dourados,2021,1,2021-1-01,0
310010,Abadia dos Dourados,2021,2,2021-2-01,0
310010,Abadia dos Dourados,2021,3,2021-3-01,1
310010,Abadia dos Dourados,2021,4,2021-4-01,1
310010,Abadia dos Dourados,2021,5,2021-5-01,0
310020,Abaeté,2021,1,2021-1-01,0
310020,Abaeté,2021,2,2021-2-01,0
310020,Abaeté,2021,3,2021-3-01,0
310020,Abaeté,2021,4,2021-4-01,1
310020,Abaeté,2021,5,2021-5-01,0
310030,Abre Campo,2021,1,2021-1-01,0
310030,Abre Campo,2021,2,2021-2-01,0
310030,Abre Campo,2021,3,2021-3-01,1
310030,Abre Campo,2021,4,2021-4-01,0
310030,Abre Campo,2021,5,2021-5-01,0
310160,Alfenas,2021,1,2021-1-01,0
310160,Alfenas,2021,2,2021-2-01,0
310160,Alfenas,2021,3,2021-3-01,1
310160,Alfenas,2021,4,2021-4-01,1
310160,Alfenas,2021,5,2021-5-01,0
310170,Almenara,2021,1,2021-1-01,1
310170,Almenara,2021,2,2021-2-01,3
310170,Almenara,2021,3,2021-3-01,2
310170,Almenara,2021,4,2021-4-01,0
310170,Almenara,2021,5,2021-5-01,0
310190,Alpinópolis,2021,1,2021-1-01,0
310190,Alpinópolis,2021,2,2021-2-01,0
310190,Alpinópolis,2021,3,2021-3-01,1
310190,Alpinópolis,2021,4,2021-4-01,0
310190,Alpinópolis,2021,5,2021-5-01,0
310340,Araçuaí,2021,1,2021-1-01,1
310340,Araçuaí,2021,2,2021-2-01,0
310340,Araçuaí,2021,3,2021-3-01,0
310340,Araçuaí,2021,4,2021-4-01,0
310340,Araçuaí,2021,5,2021-5-01,1
310350,Araguari,2021,1,2021-1-01,0
310350,Araguari,2021,2,2021-2-01,1
310350,Araguari,2021,3,2021-3-01,1
310350,Araguari,2021,4,2021-4-01,0
310350,Araguari,2021,5,2021-5-01,0
310400,Araxá,2021,1,2021-1-01,1
310400,Araxá,2021,2,2021-2-01,1
310400,Araxá,2021,3,2021-3-01,2
310400,Araxá,2021,4,2021-4-01,0
310400,Araxá,2021,5,2021-5-01,0
310450,Arinos,2021,1,2021-1-01,0
310450,Arinos,2021,2,2021-2-01,1
310450,Arinos,2021,3,2021-3-01,0
310450,Arinos,2021,4,2021-4-01,1
310450,Arinos,2021,5,2021-5-01,0
310470,Ataléia,2021,1,2021-1-01,1
310470,Ataléia,2021,2,2021-2-01,0
310470,Ataléia,2021,3,2021-3-01,0
310470,Ataléia,2021,4,2021-4-01,0
310470,Ataléia,2021,5,2021-5-01,0
310490,Baependi,2021,1,2021-1-01,0
310490,Baependi,2021,2,2021-2-01,0
310490,Baependi,2021,3,2021-3-01,0
310490,Baependi,2021,4,2021-4-01,1
310490,Baependi,2021,5,2021-5-01,0
310530,Bandeira do Sul,2021,1,2021-1-01,0
310530,Bandeira do Sul,2021,2,2021-2-01,0
310530,Bandeira do Sul,2021,3,2021-3-01,0
310530,Bandeira do Sul,2021,4,2021-4-01,1
310530,Bandeira do Sul,2021,5,2021-5-01,0
310620,Belo Horizonte,2021,1,2021-1-01,3
310620,Belo Horizonte,2021,2,2021-2-01,5
310620,Belo Horizonte,2021,3,2021-3-01,1
310620,Belo Horizonte,2021,4,2021-4-01,1
310620,Belo Horizonte,2021,5,2021-5-01,0
310670,Betim,2021,1,2021-1-01,1
310670,Betim,2021,2,2021-2-01,4
310670,Betim,2021,3,2021-3-01,0
310670,Betim,2021,4,2021-4-01,1
310670,Betim,2021,5,2021-5-01,0
310700,Biquinhas,2021,1,2021-1-01,0
310700,Biquinhas,2021,2,2021-2-01,0
310700,Biquinhas,2021,3,2021-3-01,0
310700,Biquinhas,2021,4,2021-4-01,1
310700,Biquinhas,2021,5,2021-5-01,0
310740,Bom Despacho,2021,1,2021-1-01,0
310740,Bom Despacho,2021,2,2021-2-01,1
310740,Bom Despacho,2021,3,2021-3-01,0
310740,Bom Despacho,2021,4,2021-4-01,0
310740,Bom Despacho,2021,5,2021-5-01,0
310920,Buenópolis,2021,1,2021-1-01,1
310920,Buenópolis,2021,2,2021-2-01,0
310920,Buenópolis,2021,3,2021-3-01,0
310920,Buenópolis,2021,4,2021-4-01,1
310920,Buenópolis,2021,5,2021-5-01,0
310940,Buritizeiro,2021,1,2021-1-01,1
310940,Buritizeiro,2021,2,2021-2-01,0
310940,Buritizeiro,2021,3,2021-3-01,0
310940,Buritizeiro,2021,4,2021-4-01,0
310940,Buritizeiro,2021,5,2021-5-01,0
311080,Campanário,2021,1,2021-1-01,1
311080,Campanário,2021,2,2021-2-01,0
311080,Campanário,2021,3,2021-3-01,0
311080,Campanário,2021,4,2021-4-01,0
311080,Campanário,2021,5,2021-5-01,0
311100,Campestre,2021,1,2021-1-01,0
311100,Campestre,2021,2,2021-2-01,1
311100,Campestre,2021,3,2021-3-01,0
311100,Campestre,2021,4,2021-4-01,0
311100,Campestre,2021,5,2021-5-01,0
311110,Campina Verde,2021,1,2021-1-01,1
311110,Campina Verde,2021,2,2021-2-01,0
311110,Campina Verde,2021,3,2021-3-01,0
311110,Campina Verde,2021,4,2021-4-01,0
311110,Campina Verde,2021,5,2021-5-01,0
311170,Canaã,2021,1,2021-1-01,0
311170,Canaã,2021,2,2021-2-01,0
311170,Canaã,2021,3,2021-3-01,1
311170,Canaã,2021,4,2021-4-01,0
311170,Canaã,2021,5,2021-5-01,0
311180,Canápolis,2021,1,2021-1-01,0
311180,Canápolis,2021,2,2021-2-01,1
311180,Canápolis,2021,3,2021-3-01,0
311180,Canápolis,2021,4,2021-4-01,0
311180,Canápolis,2021,5,2021-5-01,0
311260,Capinópolis,2021,1,2021-1-01,0
311260,Capinópolis,2021,2,2021-2-01,1
311260,Capinópolis,2021,3,2021-3-01,0
311260,Capinópolis,2021,4,2021-4-01,0
311260,Capinópolis,2021,5,2021-5-01,0
311265,Capitão Andrade,2021,1,2021-1-01,0
311265,Capitão Andrade,2021,2,2021-2-01,0
311265,Capitão Andrade,2021,3,2021-3-01,1
311265,Capitão Andrade,2021,4,2021-4-01,0
311265,Capitão Andrade,2021,5,2021-5-01,0
311270,Capitão Enéas,2021,1,2021-1-01,0
311270,Capitão Enéas,2021,2,2021-2-01,1
311270,Capitão Enéas,2021,3,2021-3-01,0
311270,Capitão Enéas,2021,4,2021-4-01,1
311270,Capitão Enéas,2021,5,2021-5-01,0
311390,Carmo da Cachoeira,2021,1,2021-1-01,0
311390,Carmo da Cachoeira,2021,2,2021-2-01,0
311390,Carmo da Cachoeira,2021,3,2021-3-01,0
311390,Carmo da Cachoeira,2021,4,2021-4-01,0
311390,Carmo da Cachoeira,2021,5,2021-5-01,1
311410,Carmo de Minas,2021,1,2021-1-01,0
311410,Carmo de Minas,2021,2,2021-2-01,0
311410,Carmo de Minas,2021,3,2021-3-01,1
311410,Carmo de Minas,2021,4,2021-4-01,0
311410,Carmo de Minas,2021,5,2021-5-01,0
311455,Carneirinho,2021,1,2021-1-01,0
311455,Carneirinho,2021,2,2021-2-01,0
311455,Carneirinho,2021,3,2021-3-01,1
311455,Carneirinho,2021,4,2021-4-01,0
311455,Carneirinho,2021,5,2021-5-01,0
311535,Catas Altas,2021,1,2021-1-01,0
311535,Catas Altas,2021,2,2021-2-01,0
311535,Catas Altas,2021,3,2021-3-01,0
311535,Catas Altas,2021,4,2021-4-01,1
