codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_hepatites_virais
310090,Águas Formosas,2021,1,2021-1-01,1
310090,Águas Formosas,2021,2,2021-2-01,0
310090,Águas Formosas,2021,3,2021-3-01,0
310090,Águas Formosas,2021,4,2021-4-01,0
310090,Águas Formosas,2021,5,2021-5-01,0
310090,Águas Formosas,2021,6,2021-6-01,0
310090,Águas Formosas,2021,7,2021-7-01,0
310090,Águas Formosas,2021,8,2021-8-01,0
310090,Águas Formosas,2021,9,2021-9-01,0
310090,Águas Formosas,2021,10,2021-10-01,0
310090,Águas Formosas,2021,11,2021-11-01,0
310090,Águas Formosas,2021,12,2021-12-01,0
310110,Aimorés,2021,1,2021-1-01,0
310110,Aimorés,2021,2,2021-2-01,0
310110,Aimorés,2021,3,2021-3-01,0
310110,Aimorés,2021,4,2021-4-01,0
310110,Aimorés,2021,5,2021-5-01,0
310110,Aimorés,2021,6,2021-6-01,0
310110,Aimorés,2021,7,2021-7-01,0
310110,Aimorés,2021,8,2021-8-01,0
310110,Aimorés,2021,9,2021-9-01,1
310110,Aimorés,2021,10,2021-10-01,0
310110,Aimorés,2021,11,2021-11-01,0
310110,Aimorés,2021,12,2021-12-01,0
310120,Aiuruoca,2021,1,2021-1-01,0
310120,Aiuruoca,2021,2,2021-2-01,0
310120,Aiuruoca,2021,3,2021-3-01,0
310120,Aiuruoca,2021,4,2021-4-01,0
310120,Aiuruoca,2021,5,2021-5-01,0
310120,Aiuruoca,2021,6,2021-6-01,0
310120,Aiuruoca,2021,7,2021-7-01,0
310120,Aiuruoca,2021,8,2021-8-01,0
310120,Aiuruoca,2021,9,2021-9-01,0
310120,Aiuruoca,2021,10,2021-10-01,0
310120,Aiuruoca,2021,11,2021-11-01,0
310120,Aiuruoca,2021,12,2021-12-01,1
310200,Alterosa,2021,1,2021-1-01,1
310200,Alterosa,2021,2,2021-2-01,0
310200,Alterosa,2021,3,2021-3-01,0
310200,Alterosa,2021,4,2021-4-01,0
310200,Alterosa,2021,5,2021-5-01,0
310200,Alterosa,2021,6,2021-6-01,0
310200,Alterosa,2021,7,2021-7-01,0
310200,Alterosa,2021,8,2021-8-01,0
310200,Alterosa,2021,9,2021-9-01,0
310200,Alterosa,2021,10,2021-10-01,0
310200,Alterosa,2021,11,2021-11-01,0
310200,Alterosa,2021,12,2021-12-01,0
310260,Andradas,2021,1,2021-1-01,0
310260,Andradas,2021,2,2021-2-01,0
310260,Andradas,2021,3,2021-3-01,0
310260,Andradas,2021,4,2021-4-01,0
310260,Andradas,2021,5,2021-5-01,0
310260,Andradas,2021,6,2021-6-01,0
310260,Andradas,2021,7,2021-7-01,0
310260,Andradas,2021,8,2021-8-01,0
310260,Andradas,2021,9,2021-9-01,0
310260,Andradas,2021,10,2021-10-01,0
310260,Andradas,2021,11,2021-11-01,0
310260,Andradas,2021,12,2021-12-01,2
310350,Araguari,2021,1,2021-1-01,0
310350,Araguari,2021,2,2021-2-01,0
310350,Araguari,2021,3,2021-3-01,2
310350,Araguari,2021,4,2021-4-01,0
310350,Araguari,2021,5,2021-5-01,0
310350,Araguari,2021,6,2021-6-01,0
310350,Araguari,2021,7,2021-7-01,0
310350,Araguari,2021,8,2021-8-01,0
310350,Araguari,2021,9,2021-9-01,0
310350,Araguari,2021,10,2021-10-01,0
310350,Araguari,2021,11,2021-11-01,0
310350,Araguari,2021,12,2021-12-01,0
310400,Araxá,2021,1,2021-1-01,1
310400,Araxá,2021,2,2021-2-01,0
310400,Araxá,2021,3,2021-3-01,4
310400,Araxá,2021,4,2021-4-01,2
310400,Araxá,2021,5,2021-5-01,1
310400,Araxá,2021,6,2021-6-01,0
310400,Araxá,2021,7,2021-7-01,0
310400,Araxá,2021,8,2021-8-01,0
310400,Araxá,2021,9,2021-9-01,0
