codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_leishmaniose_tegumentar_americana
310010,Abadia dos Dourados,2021,1,2021-1-01,1
310010,Abadia dos Dourados,2021,2,2021-2-01,0
310010,Abadia dos Dourados,2021,3,2021-3-01,0
310010,Abadia dos Dourados,2021,4,2021-4-01,0
310010,Abadia dos Dourados,2021,5,2021-5-01,0
310020,Abaeté,2021,1,2021-1-01,0
310020,Abaeté,2021,2,2021-2-01,0
310020,Abaeté,2021,3,2021-3-01,0
310020,Abaeté,2021,4,2021-4-01,1
310020,Abaeté,2021,5,2021-5-01,1
310030,Abre Campo,2021,1,2021-1-01,0
310030,Abre Campo,2021,2,2021-2-01,2
310030,Abre Campo,2021,3,2021-3-01,0
310030,Abre Campo,2021,4,2021-4-01,1
310030,Abre Campo,2021,5,2021-5-01,0
310060,Água Boa,2021,1,2021-1-01,0
310060,Água Boa,2021,2,2021-2-01,1
310060,Água Boa,2021,3,2021-3-01,1
310060,Água Boa,2021,4,2021-4-01,0
310060,Água Boa,2021,5,2021-5-01,0
310100,Águas Vermelhas,2021,1,2021-1-01,0
310100,Águas Vermelhas,2021,2,2021-2-01,0
310100,Águas Vermelhas,2021,3,2021-3-01,1
310100,Águas Vermelhas,2021,4,2021-4-01,0
310100,Águas Vermelhas,2021,5,2021-5-01,0
310110,Aimorés,2021,1,2021-1-01,0
310110,Aimorés,2021,2,2021-2-01,0
310110,Aimorés,2021,3,2021-3-01,1
310110,Aimorés,2021,4,2021-4-01,0
310110,Aimorés,2021,5,2021-5-01,0
310150,Além Paraíba,2021,1,2021-1-01,0
310150,Além Paraíba,2021,2,2021-2-01,0
310150,Além Paraíba,2021,3,2021-3-01,0
310150,Além Paraíba,2021,4,2021-4-01,1
310150,Além Paraíba,2021,5,2021-5-01,0
310170,Almenara,2021,1,2021-1-01,1
310170,Almenara,2021,2,2021-2-01,1
310170,Almenara,2021,3,2021-3-01,3
310170,Almenara,2021,4,2021-4-01,0
310170,Almenara,2021,5,2021-5-01,0
310205,Alto Caparaó,2021,1,2021-1-01,0
310205,Alto Caparaó,2021,2,2021-2-01,0
310205,Alto Caparaó,2021,3,2021-3-01,0
310205,Alto Caparaó,2021,4,2021-4-01,1
310205,Alto Caparaó,2021,5,2021-5-01,0
315350,Alto Jequitibá,2021,1,2021-1-01,0
315350,Alto Jequitibá,2021,2,2021-2-01,0
315350,Alto Jequitibá,2021,3,2021-3-01,1
315350,Alto Jequitibá,2021,4,2021-4-01,1
315350,Alto Jequitibá,2021,5,2021-5-01,0
310320,Araçaí,2021,1,2021-1-01,0
310320,Araçaí,2021,2,2021-2-01,2
310320,Araçaí,2021,3,2021-3-01,0
310320,Araçaí,2021,4,2021-4-01,0
310320,Araçaí,2021,5,2021-5-01,0
310340,Araçuaí,2021,1,2021-1-01,5
310340,Araçuaí,2021,2,2021-2-01,1
310340,Araçuaí,2021,3,2021-3-01,2
310340,Araçuaí,2021,4,2021-4-01,2
310340,Araçuaí,2021,5,2021-5-01,0
310350,Araguari,2021,1,2021-1-01,0
310350,Araguari,2021,2,2021-2-01,1
310350,Araguari,2021,3,2021-3-01,0
310350,Araguari,2021,4,2021-4-01,0
310350,Araguari,2021,5,2021-5-01,0
310370,Araponga,2021,1,2021-1-01,1
310370,Araponga,2021,2,2021-2-01,0
310370,Araponga,2021,3,2021-3-01,0
310370,Araponga,2021,4,2021-4-01,0
310370,Araponga,2021,5,2021-5-01,0
310390,Araújos,2021,1,2021-1-01,0
310390,Araújos,2021,2,2021-2-01,0
310390,Araújos,2021,3,2021-3-01,0
310390,Araújos,2021,4,2021-4-01,1
310390,Araújos,2021,5,2021-5-01,0
310440,Argirita,2021,1,2021-1-01,0
310440,Argirita,2021,2,2021-2-01,0
310440,Argirita,2021,3,2021-3-01,0
310440,Argirita,2021,4,2021-4-01,1
310440,Argirita,2021,5,2021-5-01,0
310460,Astolfo Dutra,2021,1,2021-1-01,0
310460,Astolfo Dutra,2021,2,2021-2-01,0
310460,Astolfo Dutra,2021,3,2021-3-01,1
310460,Astolfo Dutra,2021,4,2021-4-01,0
310460,Astolfo Dutra,2021,5,2021-5-01,0
310470,Ataléia,2021,1,2021-1-01,0
