codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_leishmaniose_visceral
310110,Aimorés,2021,1,2021-1-01,1
310110,Aimorés,2021,2,2021-2-01,2
310110,Aimorés,2021,3,2021-3-01,0
310110,Aimorés,2021,4,2021-4-01,0
310110,Aimorés,2021,5,2021-5-01,0
310110,Aimorés,2021,6,2021-6-01,0
310110,Aimorés,2021,7,2021-7-01,0
310110,Aimorés,2021,8,2021-8-01,0
310110,Aimorés,2021,9,2021-9-01,0
310110,Aimorés,2021,10,2021-10-01,0
310110,Aimorés,2021,11,2021-11-01,0
310110,Aimorés,2021,12,2021-12-01,0
310300,Antônio Dias,2021,1,2021-1-01,1
310300,Antônio Dias,2021,2,2021-2-01,0
310300,Antônio Dias,2021,3,2021-3-01,0
310300,Antônio Dias,2021,4,2021-4-01,0
310300,Antônio Dias,2021,5,2021-5-01,0
310300,Antônio Dias,2021,6,2021-6-01,0
310300,Antônio Dias,2021,7,2021-7-01,0
310300,Antônio Dias,2021,8,2021-8-01,0
310300,Antônio Dias,2021,9,2021-9-01,0
310300,Antônio Dias,2021,10,2021-10-01,0
310300,Antônio Dias,2021,11,2021-11-01,0
310300,Antônio Dias,2021,12,2021-12-01,0
310340,Araçuaí,2021,1,2021-1-01,2
310340,Araçuaí,2021,2,2021-2-01,0
310340,Araçuaí,2021,3,2021-3-01,1
310340,Araçuaí,2021,4,2021-4-01,3
310340,Araçuaí,2021,5,2021-5-01,0
310340,Araçuaí,2021,6,2021-6-01,0
310340,Araçuaí,2021,7,2021-7-01,0
310340,Araçuaí,2021,8,2021-8-01,0
310340,Araçuaí,2021,9,2021-9-01,0
310340,Araçuaí,2021,10,2021-10-01,0
310340,Araçuaí,2021,11,2021-11-01,0
310340,Araçuaí,2021,12,2021-12-01,0
310450,Arinos,2021,1,2021-1-01,0
310450,Arinos,2021,2,2021-2-01,0
310450,Arinos,2021,3,2021-3-01,1
310450,Arinos,2021,4,2021-4-01,0
310450,Arinos,2021,5,2021-5-01,0
310450,Arinos,2021,6,2021-6-01,0
310450,Arinos,2021,7,2021-7-01,0
310450,Arinos,2021,8,2021-8-01,0
310450,Arinos,2021,9,2021-9-01,0
310450,Arinos,2021,10,2021-10-01,0
310450,Arinos,2021,11,2021-11-01,0
310450,Arinos,2021,12,2021-12-01,0
310480,Augusto de Lima,2021,1,2021-1-01,0
310480,Augusto de Lima,2021,2,2021-2-01,1
310480,Augusto de Lima,2021,3,2021-3-01,0
310480,Augusto de Lima,2021,4,2021-4-01,0
310480,Augusto de Lima,2021,5,2021-5-01,0
310480,Augusto de Lima,2021,6,2021-6-01,0
310480,Augusto de Lima,2021,7,2021-7-01,0
310480,Augusto de Lima,2021,8,2021-8-01,0
310480,Augusto de Lima,2021,9,2021-9-01,0
310480,Augusto de Lima,2021,10,2021-10-01,0
310480,Augusto de Lima,2021,11,2021-11-01,0
310480,Augusto de Lima,2021,12,2021-12-01,0
310500,Baldim,2021,1,2021-1-01,2
310500,Baldim,2021,2,2021-2-01,0
310500,Baldim,2021,3,2021-3-01,0
310500,Baldim,2021,4,2021-4-01,0
310500,Baldim,2021,5,2021-5-01,0
310500,Baldim,2021,6,2021-6-01,0
310500,Baldim,2021,7,2021-7-01,0
310500,Baldim,2021,8,2021-8-01,0
310500,Baldim,2021,9,2021-9-01,0
310500,Baldim,2021,10,2021-10-01,0
310500,Baldim,2021,11,2021-11-01,0
310500,Baldim,2021,12,2021-12-01,0
310510,Bambuí,2021,1,2021-1-01,0
310510,Bambuí,2021,2,2021-2-01,1
310510,Bambuí,2021,3,2021-3-01,0
310510,Bambuí,2021,4,2021-4-01,0
310510,Bambuí,2021,5,2021-5-01,0
310510,Bambuí,2021,6,2021-6-01,0
310510,Bambuí,2021,7,2021-7-01,0
310510,Bambuí,2021,8,2021-8-01,0
310510,Bambuí,2021,9,2021-9-01,0
310510,Bambuí,2021,10,2021-10-01,0
310510,Bambuí,2021,11,2021-11-01,0
310510,Bambuí,2021,12,2021-12-01,0
310620,Belo Horizonte,2021,1,2021-1-01,19
310620,Belo Horizonte,2021,2,2021-2-01,9
310620,Belo Horizonte,2021,3,2021-3-01,8
310620,Belo Horizonte,2021,4,2021-4-01,7
310620,Belo Horizonte,2021,5,2021-5-01,0
310620,Belo Horizonte,2021,6,2021-6-01,2
310620,Belo Horizonte,2021,7,2021-7-01,0
310620,Belo Horizonte,2021,8,2021-8-01,0
310620,Belo Horizonte,2021,9,2021-9-01,2
310620,Belo Horizonte,2021,10,2021-10-01,3
310620,Belo Horizonte,2021,11,2021-11-01,2
310620,Belo Horizonte,2021,12,2021-12-01,8
310670,Betim,2021,1,2021-1-01,0
310670,Betim,2021,2,2021-2-01,1
310670,Betim,2021,3,2021-3-01,1
310670,Betim,2021,4,2021-4-01,0
310670,Betim,2021,5,2021-5-01,0
310670,Betim,2021,6,2021-6-01,0
310670,Betim,2021,7,2021-7-01,0
310670,Betim,2021,8,2021-8-01,0
310670,Betim,2021,9,2021-9-01,0
310670,Betim,2021,10,2021-10-01,0
310670,Betim,2021,11,2021-11-01,1
310670,Betim,2021,12,2021-12-01,3
310730,Bocaiúva,2021,1,2021-1-01,0
310730,Bocaiúva,2021,2,2021-2-01,1
310730,Bocaiúva,2021,3,2021-3-01,0
310730,Bocaiúva,2021,4,2021-4-01,0
310730,Bocaiúva,2021,5,2021-5-01,0
310730,Bocaiúva,2021,6,2021-6-01,0
310730,Bocaiúva,2021,7,2021-7-01,0
310730,Bocaiúva,2021,8,2021-8-01,0
310730,Bocaiúva,2021,9,2021-9-01,0
310730,Bocaiúva,2021,10,2021-10-01,0
310730,Bocaiúva,2021,11,2021-11-01,0
310730,Bocaiúva,2021,12,2021-12-01,0
310740,Bom Despacho,2021,1,2021-1-01,0
310740,Bom Despacho,2021,2,2021-2-01,0
310740,Bom Despacho,2021,3,2021-3-01,0
310740,Bom Despacho,2021,4,2021-4-01,0
310740,Bom Despacho,2021,5,2021-5-01,0
310740,Bom Despacho,2021,6,2021-6-01,0
310740,Bom Despacho,2021,7,2021-7-01,1
310740,Bom Despacho,2021,8,2021-8-01,0
310740,Bom Despacho,2021,9,2021-9-01,0
310740,Bom Despacho,2021,10,2021-10-01,0
310740,Bom Despacho,2021,11,2021-11-01,0
310740,Bom Despacho,2021,12,2021-12-01,0
310990,Caetanópolis,2021,1,2021-1-01,0
310990,Caetanópolis,2021,2,2021-2-01,0
310990,Caetanópolis,2021,3,2021-3-01,0
310990,Caetanópolis,2021,4,2021-4-01,0
310990,Caetanópolis,2021,5,2021-5-01,1
310990,Caetanópolis,2021,6,2021-6-01,0
310990,Caetanópolis,2021,7,2021-7-01,0
310990,Caetanópolis,2021,8,2021-8-01,0
310990,Caetanópolis,2021,9,2021-9-01,0
310990,Caetanópolis,2021,10,2021-10-01,0
310990,Caetanópolis,2021,11,2021-11-01,0
310990,Caetanópolis,2021,12,2021-12-01,0
311270,Capitão Enéas,2021,1,2021-1-01,0
311270,Capitão Enéas,2021,2,2021-2-01,0
311270,Capitão Enéas,2021,3,2021-3-01,1
311270,Capitão Enéas,2021,4,2021-4-01,0
311270,Capitão Enéas,2021,5,2021-5-01,0
311270,Capitão Enéas,2021,6,2021-6-01,0
311270,Capitão Enéas,2021,7,2021-7-01,0
311270,Capitão Enéas,2021,8,2021-8-01,0
311270,Capitão Enéas,2021,9,2021-9-01,0
311270,Capitão Enéas,2021,10,2021-10-01,0
