codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_sifilis_congenita
310020,Abaeté,2021,1,2021-1-01,1
310020,Abaeté,2021,2,2021-2-01,0
310020,Abaeté,2021,3,2021-3-01,0
310020,Abaeté,2021,4,2021-4-01,0
310020,Abaeté,2021,5,2021-5-01,0
310030,Abre Campo,2021,1,2021-1-01,0
310030,Abre Campo,2021,2,2021-2-01,1
310030,Abre Campo,2021,3,2021-3-01,0
310030,Abre Campo,2021,4,2021-4-01,0
310030,Abre Campo,2021,5,2021-5-01,0
310050,Açucena,2021,1,2021-1-01,1
310050,Açucena,2021,2,2021-2-01,0
310050,Açucena,2021,3,2021-3-01,0
310050,Açucena,2021,4,2021-4-01,0
310050,Açucena,2021,5,2021-5-01,0
310090,Águas Formosas,2021,1,2021-1-01,0
310090,Águas Formosas,2021,2,2021-2-01,1
310090,Águas Formosas,2021,3,2021-3-01,0
310090,Águas Formosas,2021,4,2021-4-01,0
310090,Águas Formosas,2021,5,2021-5-01,0
310110,Aimorés,2021,1,2021-1-01,0
310110,Aimorés,2021,2,2021-2-01,1
310110,Aimorés,2021,3,2021-3-01,0
310110,Aimorés,2021,4,2021-4-01,0
310110,Aimorés,2021,5,2021-5-01,0
310140,Albertina,2021,1,2021-1-01,0
310140,Albertina,2021,2,2021-2-01,0
310140,Albertina,2021,3,2021-3-01,1
310140,Albertina,2021,4,2021-4-01,0
310140,Albertina,2021,5,2021-5-01,0
310150,Além Paraíba,2021,1,2021-1-01,0
310150,Além Paraíba,2021,2,2021-2-01,0
310150,Além Paraíba,2021,3,2021-3-01,1
310150,Além Paraíba,2021,4,2021-4-01,3
310150,Além Paraíba,2021,5,2021-5-01,1
310160,Alfenas,2021,1,2021-1-01,1
310160,Alfenas,2021,2,2021-2-01,0
310160,Alfenas,2021,3,2021-3-01,1
310160,Alfenas,2021,4,2021-4-01,0
310160,Alfenas,2021,5,2021-5-01,0
310170,Almenara,2021,1,2021-1-01,0
310170,Almenara,2021,2,2021-2-01,0
310170,Almenara,2021,3,2021-3-01,0
310170,Almenara,2021,4,2021-4-01,2
